region_name,year,month,LAI,LST_Day,NDVI,EVI,FPAR,LST_Night
Zhytomyrska,2023,6,0.07922351556376182,297.5162888326431,0.5658666986242925,0.42432264491116156,0.2337051931895172,281.0256737248025
Avtonomna_Respublika_Krym,2023,10,0.007357900602819537,295.30103512120144,0.2063303135879262,0.09649892516010092,0.05902537490649214,280.29003964712945
Cherkaska,2023,10,0.011730782330755269,288.1889105948723,0.2944586292544317,0.12431266257421,0.08521135501801752,277.8444557440997
Chernihivska,2023,10,0.014702324886025188,232.08531007769525,0.32610086733489296,0.16460470298011823,0.09274817935279457,275.8480203990409
Chernivetska,2023,10,0.016595901184116038,289.0091248653182,0.3572551332652081,0.1653610913935623,0.11305613143068786,248.97846915387373
Dnipropetrovska,2023,10,0.008660025858434213,289.16881466217467,0.3186363623544165,0.12817812693406253,0.0719583298923493,278.3323295545125
Donetska,2023,10,0.008574346517407202,288.12052165784166,0.30330581152179203,0.1255279998573534,0.07078891110565132,277.3103252029514
Ivano_Frankivska,2023,10,0.02294313901125175,286.2496009291801,0.4253267912180528,0.2190067964243331,0.14509721882854937,278.5688262402525
Kharkivska,2023,10,0.008087769842068486,284.17835202492245,0.2829754392145743,0.10397986330048228,0.06466462655716003,275.9988660788421
Khersonska,2023,10,0.0087381381550578,292.9561328386159,0.24773809567933092,0.10873269020045312,0.06935772882558422,278.88154542751755
Khmelnytska,2023,10,0.013762868705242404,281.2420299171744,0.32768007370230456,0.1448381489489921,0.09564466188471679,262.60389205849276
Kirovohradska,2023,10,0.007534494921715342,289.7539469106627,0.2756165726326267,0.10664296270501596,0.05896544938284312,278.0352239463233
Luhanska,2023,10,0.008038593693357953,287.0835074282651,0.28045611201010573,0.11113425703217343,0.06433541159278483,277.18347459954094
Lvivska,2023,10,0.027273960504627933,285.3309324028209,0.43272403483451716,0.2332777925972514,0.15785559397771376,261.07640841183877
Mykolaivska,2023,10,0.0076145186844413125,293.64366543105007,0.2506351823805429,0.10538534468734068,0.06036682428598722,279.08792559671394
Odeska,2023,10,0.007106213977381765,296.3510192304221,0.22117920789167272,0.09799608283450525,0.0564816087328912,279.9176751315016
Poltavska,2023,10,0.013430950689218239,283.513109472753,0.32650286252940564,0.13142270811103132,0.08404606453031564,276.76257012363
Rivnenska,2023,10,0.015025855035865024,258.95799012415563,0.34052149981606306,0.1629549537950597,0.10284084237610547,239.52968611730142
Sumska,2023,10,0.012120188313173467,245.19837550641589,0.3136539853276745,0.12513004783896384,0.07729002718001467,271.2119400487049
Ternopilska,2023,10,0.013019402419058383,285.4736604536225,0.3415987568355661,0.14370960529098656,0.09091251521346605,276.38975937185296
Vinnytska,2023,10,0.014381023391615726,285.18777944751093,0.3249950997096763,0.1492984524961963,0.09995957605417535,276.27614911969886
Volynska,2023,10,0.026272030041776567,275.92458728608716,0.41587033441098115,0.2312967455787019,0.15814980245468024,250.29855052035998
Zakarpatska,2023,10,0.015811834714125377,288.74021838712684,0.3394239465277927,0.17286107304081005,0.11579807597346997,280.33087231301926
Zaporizka,2023,10,0.007978879890316258,291.35082841038746,0.2825480080464613,0.11868449671865537,0.06671154592207243,277.7531429583222
Zhytomyrska,2023,10,0.01329082485010074,261.08963185763247,0.3084313589791061,0.14535319553775086,0.09260908840415281,266.52341152717497
Avtonomna_Respublika_Krym,2023,7,0.025934864305057707,309.92737526556334,0.2946100390643525,0.18072310261551702,0.11787059822595367,292.1616608333526
Cherkaska,2023,7,0.09936731828485411,300.18156630246716,0.5922020134495475,0.4286584606017261,0.2545790703548346,288.79439697654635
Chernihivska,2023,7,0.09371633459935425,297.15353550435924,0.5588968782364052,0.40491955722553424,0.24082428075385567,287.59037644228994
Chernivetska,2023,7,0.08806212589198378,301.431048118812,0.5625339774062986,0.4099526269001258,0.24323557034468754,289.23346099307855
Dnipropetrovska,2023,7,0.06327392273377055,302.8136396060437,0.5636450869600866,0.40927350344617586,0.23114586649750415,289.5650939304204
Donetska,2023,7,0.059507706805856604,303.4161225092932,0.5338355300467942,0.3534625307076932,0.21813006897909046,290.56481872334814
Ivano_Frankivska,2023,7,0.08356348514738755,299.335200157883,0.5404210759716146,0.3840767157234294,0.23704549029305952,288.0520347017618
Kharkivska,2023,7,0.08558390883833854,299.89586495552703,0.5994370933761672,0.43561374422719235,0.25952600182109303,289.1217849671083
Khersonska,2023,7,0.0363597528690973,307.60364002824025,0.3872969534723004,0.23581243211980898,0.1561751854651451,291.14927884947247
Khmelnytska,2023,7,0.10443227302477617,298.47748113565575,0.5773459656367983,0.4345997755679071,0.25507185869290666,288.02566083183444
Kirovohradska,2023,7,0.08427134416553063,301.47483449840576,0.5850843866300409,0.42569451007625897,0.24798993278623,289.3922569431027
Luhanska,2023,7,0.06620848011713944,303.11592411975914,0.5352672431808756,0.36400175548881225,0.2270158320970919,290.38827387247267
Lvivska,2023,7,0.0964945066413882,298.2154774584861,0.5720846187293959,0.43834088247532554,0.25305656804033677,287.55858371421095
Mykolaivska,2023,7,0.04830815229685607,306.73377380036317,0.4597397227832924,0.30606093159804637,0.1834943860482298,290.74468251656737
Odeska,2023,7,0.03744203477305664,308.8384618820392,0.39067044413256924,0.2552361108519093,0.15298601379238957,292.0307411526605
Poltavska,2023,7,0.10899926027144677,300.0340538361682,0.6154457073756914,0.4598174638623533,0.2691166604630286,289.45850677652743
Rivnenska,2023,7,0.08976092052426374,294.84246873115217,0.5671413446145961,0.42892935393281084,0.2461522627995872,287.7446850684223
Sumska,2023,7,0.11344416429153166,297.74392274244,0.6027510759587164,0.4465225894749081,0.26867849080509687,284.5000587887144
Ternopilska,2023,7,0.0917135672920543,298.3931572541436,0.5526937311490959,0.4095817442155744,0.2448162630491154,286.9332094654647
Vinnytska,2023,7,0.08693448791421805,300.80186296485374,0.5370738705715458,0.38765562609993254,0.23769780644333446,288.86729426559464
Volynska,2023,7,0.07861213838734252,297.1969833619085,0.5360313127560148,0.38701861632128787,0.2353438358680518,287.45077120222066
Zakarpatska,2023,7,0.09481529491599171,300.24505077012464,0.5504174681325,0.39235684254935016,0.26124843519527213,236.63489868855427
Zaporizka,2023,7,0.04927083051774783,306.48143088349605,0.47343111396970955,0.3182638413286585,0.19276427131024096,290.98332180519867
Zhytomyrska,2023,7,0.10294398617272485,298.6352652693271,0.5799199031279305,0.43429235379344194,0.2602821344133989,287.16468842822894
Avtonomna_Respublika_Krym,2023,8,0.01864171667983699,311.233792478008,0.24927193815597407,0.14099614667708313,0.10133191727020706,292.52029329427774
Cherkaska,2023,8,0.0773137500170239,303.31917236902683,0.471805192438819,0.30352929930886446,0.24229312834561256,289.86653648040254
Chernihivska,2023,8,0.08128657716051986,301.6521829808901,0.4879193565080567,0.316721358422785,0.24215983402373972,288.81100756086533
Chernivetska,2023,8,0.08889664350908437,302.32218767572647,0.5277165007199679,0.37097021076598824,0.2613617689411854,289.0389957386224
