region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Khersonska,2010,6,244.81742344855783,0.04336011217236013,0.28475453905507414,0.17029860268663558,302.56653819197453,0.4475835462797206
Khmelnytska,2010,6,252.92166626264736,0.10237425402825619,0.42003989440451794,0.2704734717650698,294.2479236205163,0.5982396853599324
Kirovohradska,2010,6,281.79731183470835,0.06301907926732839,0.3527582985418013,0.21688844274399913,302.1455573120738,0.5358722149031457
Luhanska,2010,6,282.6717581131965,0.0568313064276029,0.30807452886137615,0.20655261317479334,305.16340081555774,0.48961509443301904
Lvivska,2010,6,271.603585503517,0.11038045121038255,0.46505627120245224,0.27088019125022106,279.4600416080855,0.6159060398192375
Mykolaivska,2010,6,285.1031391588679,0.05238152846884348,0.32454048087882076,0.19400516459391823,302.76805911053987,0.48919050509734235
Odeska,2010,6,282.1399586495155,0.04839342778551917,0.2892744952738963,0.18061984566535183,301.8554314143659,0.45072016021344874
Poltavska,2010,6,272.4709640558795,0.07422518013252973,0.39283195765344203,0.23765063175713053,301.7784621229139,0.5699367797252157
Rivnenska,2010,6,267.0661976142397,0.10069551006949214,0.4322765717824094,0.2681648133568301,289.58216652331026,0.5984824865603723
Sumska,2010,6,263.4970010035032,0.08173453456722601,0.36046621206203205,0.24787947422897236,302.138605047311,0.5367035081684385
Ternopilska,2010,6,254.06420588613668,0.09850218627243486,0.41941408067049796,0.26494219439636835,285.2770865256296,0.5959024717332226
Vinnytska,2010,6,238.1673838273408,0.09568146571958112,0.41498235296100927,0.25988149618443224,293.37198327168755,0.5854807407932274
Volynska,2010,6,281.9677747396727,0.09670899892552355,0.4271007889530594,0.262781854274791,284.7967433026719,0.5877023857250256
Zakarpatska,2010,6,287.8998131220448,0.07118892123025532,0.3662631266672251,0.23549939426466743,298.95503754380843,0.5347868701693875
Zaporizka,2010,6,262.1025273132896,0.04561225588145657,0.31064339751846803,0.18221949531309115,295.1890489758941,0.4807635493471637
Zhytomyrska,2010,6,274.39382840696175,0.10819664470602514,0.4208317475874853,0.27780762672064685,296.2638179158124,0.6078431176662392
Avtonomna_Respublika_Krym,2010,7,293.75468467293416,0.04402268527528547,0.24574471700427936,0.16982067684889082,308.6132751064228,0.39646088059796386
Cherkaska,2010,7,278.89295124731217,0.08726895538638141,0.36339466917255053,0.24513798406787984,302.70991863194115,0.5233638367702349
Chernihivska,2010,7,288.4311974942993,0.06895339368924613,0.30284010151303137,0.22500480250472224,307.5243319177675,0.4818369206755123
Chernivetska,2010,7,283.59434092447736,0.09517183865196087,0.4117866211308401,0.25921483754769403,299.4051639616505,0.5776794370753862
Dnipropetrovska,2010,7,292.71939012156747,0.054452749222858504,0.3148101638017438,0.20929636700128465,307.21348042107866,0.47737121838946645
Donetska,2010,7,292.76638857039103,0.05030208276064446,0.27447465857281605,0.1962064062053011,308.9183909943342,0.44174874171310574
Ivano_Frankivska,2010,7,276.1822120079763,0.09008329697279287,0.3974228639485066,0.26020979835680874,297.38383773540835,0.5784880555336248
