region_name,year,month,LST_Night,LST_Day,EVI,NDVI,LAI,FPAR
Khersonska,2022,7,290.10776740074925,310.56526088904087,0.14799548618485564,0.25359329841785744,0.020410447070315925,0.10001525625337092
Khmelnytska,2022,7,283.1132570127665,282.3817260937251,0.20722513201980083,0.3531384860214097,0.042347301908846495,0.164669441116713
Kirovohradska,2022,7,286.5308225263465,304.1485820284718,0.1967914657330061,0.340608826721989,0.0348471878072172,0.15282950425802158
Luhanska,2022,7,276.89970818693627,305.37880025893577,0.18025616420109186,0.310883010833814,0.028153812580605172,0.13260472722598263
Lvivska,2022,7,286.54868165070263,295.6573163639204,0.2336320777441795,0.37587759841052376,0.04905828677097403,0.18362019583686537
Mykolaivska,2022,7,286.52381659898344,311.0746391022876,0.1522554033991831,0.26062841797252206,0.021686436522754645,0.10668838666332622
Odeska,2022,7,288.2366995633141,303.3100532118849,0.13854605633175576,0.23001187021891664,0.019312504338529556,0.09492233355126846
Poltavska,2022,7,288.52215721104926,299.1672263092052,0.22771053401179023,0.400742166057297,0.04467689019135909,0.17458611299959068
Rivnenska,2022,7,286.73605780259294,280.29099832270606,0.23109344354842107,0.38017383177771896,0.04712278971088379,0.1777570643481185
Sumska,2022,7,288.22785226211755,293.3797963412243,0.23514149626457986,0.39960400066929525,0.05078345272343819,0.1824247505504279
Ternopilska,2022,7,285.4471356086296,295.98051522657147,0.20924521551532899,0.3576544664206217,0.04247125859938176,0.1644048704231397
Vinnytska,2022,7,284.4710231037205,287.72948789253843,0.20932590867518697,0.33570736142594226,0.03762798465179822,0.15397754190127613
Volynska,2022,7,287.48841702730937,294.7548891848595,0.2176072624597178,0.35760752999958434,0.042908883606769026,0.17011491715216928
Zakarpatska,2022,7,288.90749096219696,306.8452780834848,0.2084660120220572,0.32132016310014516,0.03764638698411776,0.16240050671461748
Zaporizka,2022,7,289.8509577084251,309.32084273500936,0.1651107857709098,0.2847274122609944,0.02348559968477705,0.11689759593140661
Zhytomyrska,2022,7,287.5244324621069,289.4641906518929,0.23024979058781503,0.3878814607803429,0.04280585187109207,0.16736654921449096
Avtonomna_Respublika_Krym,2022,9,283.8484146110815,300.98295044591134,0.12594411904221378,0.24551997562144412,0.014335093254915006,0.08536502127897058
Cherkaska,2022,9,271.9105130215719,256.4224964606685,0.19481732130993182,0.3959934497837149,0.019254539870854636,0.10653564487624635
Chernihivska,2022,9,262.32375990543136,228.00535714543298,0.21163556074115494,0.4126841335313556,0.01764477106712742,0.10144841222655539
Chernivetska,2022,9,214.26581712279943,209.60722025944008,0.2701248842727825,0.47219873759603437,0.02993330471965835,0.1430399617358897
Dnipropetrovska,2022,9,281.1610227007066,288.2063955668066,0.1892528837468757,0.3668194368160254,0.016242959436508123,0.10726361272440693
