region_name,year,month,LAI,LST_Night,LST_Day,EVI,NDVI,FPAR
Dnipropetrovska,2020,10,0.009805746519853359,278.3222580797124,279.4330941869707,0.14273287511102023,0.3178273001159635,0.07721694282103678
Donetska,2020,10,0.005473308209115571,276.6061546447102,279.6882678330519,0.08528117792861435,0.208514061099236,0.0466472423120962
Ivano_Frankivska,2020,10,0.03291851361003456,214.25312398823093,253.95662055089412,0.29013999271681523,0.45479176315134157,0.16296023432927745
Kharkivska,2020,10,0.006409088705135372,276.7235816290443,216.01172724102702,0.08052988826247191,0.22194178436850734,0.04627944657549403
Khersonska,2020,10,0.021432047973940972,277.02912343551276,289.72673827768705,0.21901895602540125,0.3860218914251659,0.13394091118399595
Khmelnytska,2020,10,0.02406141027097996,247.4602631486594,233.75008460275896,0.2225640904950211,0.37176980097542006,0.1250031095358212
Kirovohradska,2020,10,0.009449476832816,278.1017175530413,288.54918996679004,0.12615271262091377,0.31573805417858264,0.07150010750374988
Luhanska,2020,10,0.0063115853145375295,275.706638558954,248.09599346358033,0.08178733934629004,0.19337698659594316,0.05013359555180941
Lvivska,2020,10,0.025604628920770575,211.9549979217245,209.46456842064651,0.26253067215089654,0.4463525446932627,0.14381316767044805
Mykolaivska,2020,10,0.014280871832498253,278.8279847176993,292.31579611640063,0.1720417389596502,0.3580737621885471,0.09897314912439913
Odeska,2020,10,0.010160351686405236,277.39207629435356,291.76231307511625,0.1497901254032849,0.32332092452218963,0.07210431651832501
Poltavska,2020,10,0.009537619100020026,277.2475701435824,269.45978264906705,0.11890082770406211,0.2867453691450116,0.06928539031414171
Rivnenska,2020,10,0.02507490956731953,213.4540717385203,208.7660732977156,0.23845596207313222,0.400350697046392,0.12907511417892215
Sumska,2020,10,0.01240360364413738,276.31756004197155,230.00968553445026,0.12489818340303667,0.2495536328033083,0.08571016491019982
Ternopilska,2020,10,0.03251437856776386,214.26888678369426,267.9171038165728,0.28210113275021853,0.44909775026063736,0.15896460113994076
Vinnytska,2020,10,0.01459544384914153,253.14161689169592,236.66548284720236,0.18278391571459168,0.34718673086184665,0.0920278131468443
Volynska,2020,10,0.024491169671209182,257.58049625994994,172.84835457845315,0.26709035286323984,0.4415905705367506,0.12910869944757583
Zakarpatska,2020,10,0.0171111648620365,278.84830905638313,278.436607782985,0.17037836041554869,0.35069682755501075,0.12144688353605611
Zaporizka,2020,10,0.013352634728265067,278.7522953252981,288.8266305765759,0.16669182061931861,0.34230786338636554,0.09590786121883509
Zhytomyrska,2020,10,0.018753763639256918,252.65109917421026,209.1393134360879,0.22168666812066803,0.38860893477868896,0.10791825772122139
Avtonomna_Respublika_Krym,2020,5,0.04407660752020004,283.3532972049938,303.40702282827914,0.22735050851698413,0.38246457121926963,0.16971703095412893
Cherkaska,2020,5,0.04599718295414559,263.24398600313486,260.53656131571586,0.30036189617634196,0.4695387713581475,0.15383538691109044
Chernihivska,2020,5,0.04970847206340923,259.3188876290887,237.44803618857955,0.3065419109545364,0.46385106888093924,0.15207018366180128
