region_name,year,month,LST_Night,NDVI,EVI,LAI,FPAR,LST_Day
Poltavska,2019,3,271.59569371713076,0.28236456655384007,0.11985891573442757,0.009495729600461121,0.05771281720973139,278.5351792427535
Rivnenska,2019,3,272.5205903150618,0.315850814007473,0.17989450647641023,0.0163204447974339,0.09425682274182971,266.4589822056039
Sumska,2019,3,269.8350428655802,0.25824104549571136,0.11274405247899472,0.0083543293109565,0.052152837249817216,278.86483559808624
Ternopilska,2019,3,271.8679442243956,0.3235128557033154,0.1543183419202274,0.013817276885666094,0.07897114307344005,272.48357715163263
Vinnytska,2019,3,269.15903983286006,0.3090628270415993,0.15495581829053207,0.014908993100113378,0.0849157298552225,288.21953109477295
Volynska,2019,3,273.13617559564057,0.3564207248059472,0.21427165578662272,0.021560605253880663,0.11740510170536403,266.49598945432825
Zakarpatska,2019,3,273.67006322988533,0.31558632437169865,0.1944084262576747,0.01927422783752604,0.11343039278649575,282.8643438486853
Zaporizka,2019,3,271.23937963789905,0.3444625308713108,0.1755355605425465,0.017631403620652287,0.09862383749275044,290.6863098931871
Zhytomyrska,2019,3,271.04410390950903,0.3034542140606374,0.16298866942915677,0.014439008802902649,0.08549783619140429,286.8229259641022
Avtonomna_Respublika_Krym,2019,6,291.0935113934625,0.29149763989794014,0.17506667616665622,0.027969913612589704,0.12424780666217211,310.32257019989567
Cherkaska,2019,6,289.7203658942974,0.6326574184584054,0.4821568515831618,0.13544033538262185,0.2967900845627302,302.0112488194157
Chernihivska,2019,6,288.05470958478753,0.6019866263500232,0.44347559435435213,0.11405896622493487,0.2744854567535136,297.3021258765907
Chernivetska,2019,6,289.31011804441556,0.5804483510421174,0.42724392526916877,0.102063808500781,0.2687406879802237,299.4353091820523
Dnipropetrovska,2019,6,289.47535962970096,0.5173107277434439,0.37028280715031753,0.05660967786615387,0.21528635126359164,306.4360606943328
Donetska,2019,6,289.9294421210014,0.4651965140293501,0.30551784313899755,0.051910299419800604,0.1985111626153046,308.2381882184946
Ivano_Frankivska,2019,6,285.96666604468277,0.5753646709414736,0.4211717888476375,0.10408219778570016,0.2667000426948281,300.8596545821266
Kharkivska,2019,6,289.3363696974443,0.5210875809706683,0.3626606429400241,0.07112842882325943,0.23235808472230243,305.29429475756154
Khersonska,2019,6,290.6863202646787,0.36579537843822896,0.24976018573902584,0.04270018512244706,0.16571116919861237,308.7258563967051
Khmelnytska,2019,6,287.9917521598417,0.6050565170803534,0.4580193775400066,0.11517868136893111,0.27784706076067295,298.88470576332526
Kirovohradska,2019,6,287.20250175617474,0.5798340859723852,0.4212885042008893,0.08959143639809009,0.2554522393580131,304.2488803005567
