region_name,year,month,LST_Night,EVI,LAI,LST_Day,NDVI,FPAR
Khersonska,2017,8,289.8513521538784,0.14178686108839902,0.019713720363183293,310.2539533456546,0.2562045983137294,0.0981387917949915
Khmelnytska,2017,8,285.9837198230347,0.31060299920440787,0.06545118460639311,301.9064499616644,0.4682944880474108,0.21962239191586183
Kirovohradska,2017,8,289.0069703847217,0.18116560299703297,0.03442574877722965,306.5417727136402,0.3515170770530726,0.15221547209140376
Luhanska,2017,8,289.2051926212779,0.1672849070892592,0.024983568728499037,290.9532666153023,0.3381237789956656,0.12579745952904453
Lvivska,2017,8,285.8771715567125,0.3083155106082393,0.058028159761358215,293.67052832588917,0.4779855185699657,0.21530112295776918
Mykolaivska,2017,8,289.62915907999235,0.140308497140631,0.019341393933571795,310.71870199992446,0.2754544650055946,0.1017225675226106
Odeska,2017,8,289.6330346453447,0.15444397424112366,0.022704554573208507,310.06741750530495,0.29369575171367224,0.1116968391217522
Poltavska,2017,8,288.53603151331276,0.2145600468366072,0.04436767833855229,305.44361463428714,0.3887896793118181,0.17860915238626476
Rivnenska,2017,8,285.9007150292085,0.3477587544282662,0.07135964101684455,299.25684984650087,0.5023765037462157,0.23454539657209666
Sumska,2017,8,287.11911631943826,0.2830531837142955,0.07634027619865814,300.74930902324706,0.4722139356522441,0.23476557657199917
Ternopilska,2017,8,285.9758875339526,0.30989674466786166,0.06428685966899059,301.41300503717144,0.4777062531801767,0.2193674323691561
Vinnytska,2017,8,286.8914943591522,0.2783662299020839,0.05806606319938981,303.071912756459,0.4443825802621041,0.20692876349803974
Volynska,2017,8,285.75196538404674,0.3034843264533466,0.05365118288747558,283.83788058976745,0.45824693962461954,0.2059419246038982
Zakarpatska,2017,8,287.31749674512304,0.3258612862639844,0.06427085119548198,302.2243201203678,0.5012237389837386,0.23216505979887345
Zaporizka,2017,8,288.6816070501154,0.1330058987142082,0.01659387649432921,310.723695182432,0.26198814579668717,0.09239254442708268
Zhytomyrska,2017,8,285.61655197089453,0.3407899441213449,0.07472011984540758,299.8947071013174,0.5134575589978346,0.23934385236568556
Avtonomna_Respublika_Krym,2017,6,288.7473626149104,0.21513372444017978,0.04008017117667639,306.27535443660406,0.3524900162648548,0.15777865209273173
Cherkaska,2017,6,286.69905862256275,0.3941585725201684,0.08758055752356096,302.5688312717381,0.5695861172704345,0.24659927369429444
Chernihivska,2017,6,285.71445959824683,0.40140410249253766,0.08314100343249183,280.8860745284783,0.5808735336759664,0.23479017497224644
Chernivetska,2017,6,287.98545811616265,0.4616021197576227,0.10313609231013927,297.52213674096976,0.6060323506990142,0.2677588796139396
