region_name,year,month,NDVI,EVI,FPAR,LST_Night,LAI,LST_Day
Sumska,2011,7,0.566705433672134,0.37264096143835373,0.24524119558125204,290.0445891041881,0.08919316033077666,297.9991387174226
Ternopilska,2011,7,0.5205123405751825,0.3588309714944194,0.22886154598788983,283.91318533695744,0.07997092352251607,293.2141007261492
Vinnytska,2011,7,0.5522538934149472,0.3908819066107866,0.24883528725234727,288.8200476839395,0.09347422202457431,300.8917209486099
Volynska,2011,7,0.543039400963462,0.36238629427740837,0.23971488162763507,277.6296258708467,0.07767186152671839,298.2972602129559
Zakarpatska,2011,7,0.5558547085178717,0.3646942420265328,0.22605340894672368,276.43152346471885,0.06840510144639947,290.1059690995749
Zaporizka,2011,7,0.4445520337076864,0.296870224066816,0.19743211800220592,290.2995079006206,0.0514833292448128,308.2992320938083
Zhytomyrska,2011,7,0.5758607609280813,0.3817080249293389,0.2529727162736972,282.82085564374586,0.09269059908130829,288.1433401368783
Avtonomna_Respublika_Krym,2011,9,0.22299843579997475,0.1144050146654894,0.07716055755645619,284.26493325471927,0.013435845860769471,304.32196000737673
Cherkaska,2011,9,0.3457664115190441,0.18950226330485687,0.15501476281840887,281.3447949730293,0.031198276362786277,298.461186258588
Chernihivska,2011,9,0.4176271599727352,0.2346236665399234,0.18555438107649513,280.105585461732,0.03926802684486944,293.6874360512916
Chernivetska,2011,9,0.37298561510224365,0.20912147712856682,0.15774969926435042,283.14860370814506,0.03198995197032514,298.50020949369446
Dnipropetrovska,2011,9,0.2732480264739008,0.12307064672559331,0.08168581726480101,282.25560651920404,0.011869512437784153,301.4441243366057
Donetska,2011,9,0.2854637302529265,0.12196680058322147,0.07974297411405266,281.4696345666953,0.012531703019411113,298.4951894523353
Ivano_Frankivska,2011,9,0.429808478299608,0.24707866783178797,0.18448769233263618,282.7685162346169,0.03956497677664258,296.94683108255384
Kharkivska,2011,9,0.3007240538130269,0.13230283754851274,0.09350845133955489,281.16168482876446,0.014857848677463252,298.43619052227825
Khersonska,2011,9,0.24485042904234725,0.12126087475791814,0.08394178354327354,283.5882091608658,0.014349602738988323,303.5765307945634
Khmelnytska,2011,9,0.3525089191325184,0.1918252460028044,0.15030472156608005,281.8197100293067,0.029063343313590378,297.9299902925176
Kirovohradska,2011,9,0.28546891308940625,0.1412054309364314,0.10487904664985327,281.9303248741644,0.01773630870694988,300.814972789374
Luhanska,2011,9,0.32602518788699625,0.14094655405484752,0.09664239299216772,281.1395583260137,0.016165312768040948,291.2381112976879
Lvivska,2011,9,0.4637694203777312,0.27905700384587584,0.21527474210373299,281.9211815347656,0.04795302919020279,295.11456166027995
Mykolaivska,2011,9,0.25069717032635414,0.11628985204629916,0.0771742159620433,283.9661886761135,0.012477085920147606,304.1695884056627
Odeska,2011,9,0.25865553773089106,0.12510955949533858,0.08794866783815142,285.65671115520604,0.015139031801415766,305.12260699441975
Poltavska,2011,9,0.31017800614985835,0.1623098330065318,0.128431847541472,280.96151337643977,0.023923200880573064,297.91931507287734
Rivnenska,2011,9,0.39845368129622405,0.23569947689150905,0.1836541609363927,281.96984061772275,0.03794429493960319,296.34024576108885
Sumska,2011,9,0.37753382769256344,0.19998399234566297,0.15973258407249866,280.60358430515157,0.03128413233837707,288.7025082871237
Ternopilska,2011,9,0.3670482782008523,0.20056428568394194,0.15572167328941616,282.2275978276279,0.03081637455600424,298.025659092594
